team,epapg_adj,epapg_raw,sos
NYG,5.471708141493968,2.6881429729081,2.783565168585868
PHI,5.010370040769542,2.392921489251602,2.61744855151794
DET,-5.065737519306492,-7.673102237413695,2.6073647181072026
WAS,5.079856222738056,2.6753619391183534,2.4044942836197025
MIA,-9.483059364142465,-11.613989733693598,2.130930369551134
NYJ,-6.4439751941338015,-8.450003201275466,2.0060280071416647
LAC,9.728133245404065,7.817235816760283,1.910897428643782
CHI,2.068726119206586,0.2578345386100418,1.810891580596544
BUF,-1.3597256365417283,-3.1386644336613245,1.7789387971195962
DEN,-2.0566895580596305,-3.6279012176288234,1.571211659569193
NE,16.870305152402402,15.417607392662351,1.452697759740051
DAL,8.573887685488215,7.197250147091279,1.3766375383969356
LV,-5.460942235202854,-6.718254438642179,1.2573122034393256
KC,-5.179161227713237,-6.428116096524173,1.2489548688109355
JAX,5.803770085116771,4.806944574700255,0.9968255104165156
MIN,1.5366875273605367,0.8534242010442532,0.6832633263162835
IND,8.613638655815686,8.200597714410875,0.4130409414048106
GB,9.360161532282502,9.154403400932724,0.2057581313497785
TEN,2.3911702772697288,2.3203829750767895,0.07078730219293927
BAL,-6.346387443674754,-6.282045981584815,-0.06434146208993852
HOU,-1.4067794984897497,-1.3218612482087333,-0.0849182502810164
CAR,-8.090114815048109,-6.390446250642707,-1.6996685644054015
PIT,5.021446582946608,6.936508435032823,-1.9150618520862146
CIN,-1.295355862168451,0.720974748613298,-2.016330610781749
ATL,-10.247869589053835,-8.135067015900859,-2.112802573152976
LA,-12.585966958983608,-10.079221283890366,-2.506745675093242
CLE,1.3138836052077294,3.911352308253117,-2.597468703045388
NO,-4.516625135502071,-1.6918357650967664,-2.8247893704053046
TB,-0.9834158428021245,2.184602975239293,-3.1680188180414173
SF,-12.713333253622537,-9.539655009860873,-3.173678243761664
SEA,0.6615524917080977,4.162547547859141,-3.5009950561510434
ARI,-4.3970144532066975,0.25334593940642636,-4.650360392613123
